"year","name","n"
2020-01-22,"AK",0
2020-01-23,"AK",0
2020-01-24,"AK",0
2020-01-25,"AK",0
2020-01-26,"AK",0
2020-01-27,"AK",0
2020-01-28,"AK",0
2020-01-29,"AK",0
2020-01-30,"AK",0
2020-01-31,"AK",0
2020-02-01,"AK",0
2020-02-02,"AK",0
2020-02-03,"AK",0
2020-02-04,"AK",0
2020-02-05,"AK",0
2020-02-06,"AK",0
2020-02-07,"AK",0
2020-02-08,"AK",0
2020-02-09,"AK",0
2020-02-10,"AK",0
2020-02-11,"AK",0
2020-02-12,"AK",0
2020-02-13,"AK",0
2020-02-14,"AK",0
2020-02-15,"AK",0
2020-02-16,"AK",0
2020-02-17,"AK",0
2020-02-18,"AK",0
2020-02-19,"AK",0
2020-02-20,"AK",0
2020-02-21,"AK",0
2020-02-22,"AK",0
2020-02-23,"AK",0
2020-02-24,"AK",0
2020-02-25,"AK",0
2020-02-26,"AK",0
2020-02-27,"AK",0
2020-02-28,"AK",0
2020-02-29,"AK",0
2020-03-01,"AK",0
2020-03-02,"AK",0
2020-03-03,"AK",0
2020-03-04,"AK",0
2020-03-05,"AK",0
2020-03-06,"AK",0
2020-03-07,"AK",0
2020-03-08,"AK",0
2020-03-09,"AK",0
2020-03-10,"AK",0
2020-03-11,"AK",0
2020-03-12,"AK",1
2020-03-13,"AK",0
2020-03-14,"AK",0
2020-03-15,"AK",0
2020-03-16,"AK",2
2020-03-17,"AK",3
2020-03-18,"AK",0
2020-03-19,"AK",3
2020-03-20,"AK",0
2020-03-21,"AK",0
2020-03-22,"AK",14
2020-03-23,"AK",13
2020-03-24,"AK",6
2020-03-25,"AK",17
2020-03-26,"AK",10
2020-03-27,"AK",16
2020-03-28,"AK",17
2020-03-29,"AK",12
2020-03-30,"AK",5
2020-03-31,"AK",14
2020-04-01,"AK",9
2020-04-02,"AK",4
2020-04-03,"AK",11
2020-04-04,"AK",14
2020-04-05,"AK",14
2020-04-06,"AK",6
2020-04-07,"AK",22
2020-04-08,"AK",12
2020-04-09,"AK",10
2020-04-10,"AK",11
2020-04-11,"AK",11
2020-04-12,"AK",15
2020-04-13,"AK",5
2020-04-14,"AK",8
2020-04-15,"AK",8
2020-04-16,"AK",7
2020-04-17,"AK",9
2020-04-18,"AK",5
2020-04-19,"AK",5
2020-04-20,"AK",2
2020-04-21,"AK",8
2020-04-22,"AK",6
2020-04-23,"AK",2
2020-04-24,"AK",2
2020-04-25,"AK",0
2020-04-26,"AK",2
2020-04-27,"AK",4
2020-04-28,"AK",6
2020-04-29,"AK",4
2020-04-30,"AK",0
2020-05-01,"AK",9
